App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Name
TED,FAMILY,4.6,181961,18M,"10,000,000+",Free,0,Everyone 10+,Education,"July 27, 2018",3.2.5,4.1 and up,ted
My College Bookstore,SHOPPING,3.2,661,7.6M,"100,000+",Free,0,Everyone,Shopping,"March 19, 2018",3.0.2,4.1 and up,mycollegebookstore
Boom Beach,FAMILY,4.5,5591653,95M,"50,000,000+",Free,0,Everyone 10+,Strategy,"July 18, 2018",35.119,4.0.3 and up,boombeach
Red Ball 4,GAME,4.4,1432447,59M,"50,000,000+",Free,0,Everyone,Arcade,"November 9, 2017",1.3.21,4.0.3 and up,redball4
Wishbone - Compare Anything,SOCIAL,4.3,51569,26M,"1,000,000+",Free,0,Teen,Social,"July 30, 2018",5.4.7,4.1 and up,wishbonecompareanything
Township,FAMILY,4.6,4451317,Varies with device,"50,000,000+",Free,0,Everyone,Casual,"July 19, 2018",5.9.0,4.0.3 and up,township
Hungry Shark World,GAME,4.5,1243017,27M,"50,000,000+",Free,0,Teen,Action,"July 18, 2018",3.0.0,4.2 and up,hungrysharkworld
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122280,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,bleacherreportsportsnewsscoreshighlights
Smashy Road: Arena,GAME,4.3,45558,53M,"5,000,000+",Free,0,Everyone 10+,Action,"May 24, 2018",1.1.9,4.1 and up,smashyroadarena
Philips Hue,LIFESTYLE,3.1,10006,53M,"1,000,000+",Free,0,Everyone,Lifestyle,"July 26, 2018",3.2.0,5.0 and up,philipshue
Hitman GO,FAMILY,4.6,84114,23M,"500,000+",Paid,$0.99,Everyone 10+,Puzzle,"July 5, 2018",1.13.108869,2.3.3 and up,hitmango
Super Jabber Jump,GAME,4.3,85882,23M,"10,000,000+",Free,0,Everyone,Arcade,"November 7, 2017",6.6.3106,2.3 and up,superjabberjump
Driving Zone,GAME,4.2,51791,57M,"1,000,000+",Free,0,Everyone,Racing,"June 6, 2018",1.53,4.1 and up,drivingzone
Photo Editor by Aviary,PHOTOGRAPHY,4.4,1490722,21M,"50,000,000+",Free,0,Everyone,Photography,"July 19, 2018",4.8.4,4.1 and up,photoeditorbyaviary
My Movies Pro - Movie & TV Collection Library,LIFESTYLE,4.6,6477,20M,"10,000+",Paid,$7.99,Everyone,Lifestyle,"July 16, 2018",2.26 Build 17,4.1 and up,mymoviespromovietvcollectionlibrary
Threema,COMMUNICATION,4.5,51110,Varies with device,"1,000,000+",Paid,$2.99,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,threema
SimCity BuildIt,FAMILY,4.5,4218587,100M,"50,000,000+",Free,0,Everyone 10+,Simulation,"June 19, 2018",1.23.3.75024,4.0 and up,simcitybuildit
Grand Theft Auto: San Andreas,GAME,4.4,348962,26M,"1,000,000+",Paid,$6.99,Mature 17+,Action,"March 21, 2015",1.08,3.0 and up,grandtheftautosanandreas
Can Knockdown 3,GAME,4.1,349503,19M,"10,000,000+",Free,0,Everyone,Arcade,"August 26, 2015",1.31,4.0 and up,canknockdown3
Shadow Fight 2,GAME,4.6,10981850,88M,"100,000,000+",Free,0,Everyone 10+,Action,"July 2, 2018",1.9.38,3.0 and up,shadowfight2
The CW,FAMILY,4.4,288209,21M,"5,000,000+",Free,0,Teen,Entertainment,"July 23, 2018",2.17,4.4 and up,thecw
AMC,FAMILY,3.2,20843,14M,"1,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",3.3.85 (2),4.4 and up,amc
Cartoon Wars 3,FAMILY,4.1,137674,72M,"5,000,000+",Free,0,Teen,Role Playing,"July 4, 2018",2.0.2,2.3 and up,cartoonwars3
Cytus,GAME,4.7,541732,20M,"5,000,000+",Free,0,Everyone,Music,"February 9, 2018",10.0.10,2.3 and up,cytus
Army of Heroes,FAMILY,4.5,85015,46M,"1,000,000+",Free,0,Everyone 10+,Strategy,"August 1, 2018",1.03.06,4.0 and up,armyofheroes
Peppa Pig: Party Time,FAMILY,3.8,52,55M,"10,000+",Paid,$2.99,Everyone,Educational;Pretend Play,"August 8, 2017",1.2.1,2.3 and up,peppapigpartytime
COOKING MAMA Let's Cook!,FAMILY,4.3,528917,59M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up,cookingmamaletscook
Just Dance Now,GAME,4.2,794058,56M,"10,000,000+",Free,0,Everyone,Music,"June 12, 2018",2.3.0,4.4 and up,justdancenow
DB Navigator,MAPS_AND_NAVIGATION,4.0,119685,20M,"10,000,000+",Free,0,Everyone,Maps & Navigation,"July 2, 2018",18.06.p03.02,4.0.3 and up,dbnavigator
Injustice: Gods Among Us,GAME,4.4,2440877,32M,"10,000,000+",Free,0,Teen,Action,"June 14, 2018",2.21,4.0 and up,injusticegodsamongus
LEGO Batman: DC Super Heroes,FAMILY,4.2,2557,5.8M,"50,000+",Paid,$4.99,Everyone 10+,Adventure;Action & Adventure,"May 9, 2016",Varies with device,4.0.3 and up,legobatmandcsuperheroes
MARVEL Contest of Champions,GAME,4.3,2468915,92M,"50,000,000+",Free,0,Teen,Action,"July 30, 2018",19.1.0,4.0.3 and up,marvelcontestofchampions
MARVEL Avengers Academy,GAME,4.2,304106,Varies with device,"10,000,000+",Free,0,Teen,Adventure,"August 6, 2018",2.8.2,4.0.3 and up,marvelavengersacademy
MARVEL Future Fight,FAMILY,4.6,2354042,72M,"50,000,000+",Free,0,Everyone 10+,Role Playing,"July 3, 2018",4.2.0,4.0.3 and up,marvelfuturefight
WEB.DE Mail,COMMUNICATION,4.3,226541,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device,webdemail
Dictionary,BOOKS_AND_REFERENCE,4.5,264260,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"June 22, 2018",Varies with device,Varies with device,dictionary
DEER HUNTER CLASSIC,GAME,4.4,3941129,77M,"50,000,000+",Free,0,Teen,Action,"July 16, 2018",3.12.0,3.0 and up,deerhunterclassic
Bike Unchained,SPORTS,4.3,83545,23M,"5,000,000+",Free,0,Everyone,Sports,"July 31, 2018",1.193,4.0 and up,bikeunchained
Deck Heroes: Legacy,GAME,4.7,466495,52M,"10,000,000+",Free,0,Teen,Card,"July 16, 2018",11.7.5,2.3.3 and up,deckheroeslegacy
Boomerang from Instagram,PHOTOGRAPHY,4.4,928720,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"July 16, 2018",Varies with device,Varies with device,boomerangfrominstagram
Lep's World 3 🍀🍀🍀,GAME,4.3,771001,52M,"50,000,000+",Free,0,Everyone 10+,Action,"June 11, 2018",2.0.1.3,4.1 and up,lepsworld3
Google Sheets,PRODUCTIVITY,4.3,496397,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device,googlesheets
Nyan Cat: Lost In Space,GAME,4.5,371318,90M,"10,000,000+",Free,0,Everyone 10+,Arcade,"June 8, 2018",10.1.6,4.1 and up,nyancatlostinspace
Google Docs,PRODUCTIVITY,4.3,815974,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device,googledocs
Does not Commute,GAME,4.0,154108,78M,"5,000,000+",Free,0,Everyone,Racing,"October 13, 2015",1.4.2,2.3 and up,doesnotcommute
Dude Perfect 2,GAME,4.5,401648,70M,"10,000,000+",Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,dudeperfect2
Endless Ducker,GAME,4.5,8193,41M,"500,000+",Free,0,Everyone,Arcade,"September 16, 2016",1.0.7,4.0.3 and up,endlessducker
Dude Perfect,SPORTS,4.5,97,1.9M,"10,000+",Free,0,Everyone,Sports,"June 28, 2017",1.0,4.1 and up,dudeperfect
DRAGON QUEST,FAMILY,4.2,9659,30M,"100,000+",Paid,$2.99,Everyone,Role Playing,"March 10, 2017",1.0.7,2.3 and up,dragonquest
SONIC Drive-In,FOOD_AND_DRINK,4.3,19373,43M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",3.3.6,4.4 and up,sonicdrivein
McDonald's,FOOD_AND_DRINK,3.6,145646,42M,"10,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",5.15.0,4.4 and up,mcdonalds
Whataburger,FOOD_AND_DRINK,4.5,5093,56M,"500,000+",Free,0,Everyone,Food & Drink,"April 10, 2018",1.9.0,4.2 and up,whataburger
Starbucks,FOOD_AND_DRINK,4.5,455496,35M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 1, 2018",4.11.1,4.4 and up,starbucks
Dr. Panda Farm,FAMILY,4.1,265,46M,"10,000+",Paid,$2.99,Everyone,Education;Pretend Play,"July 21, 2016",1.0,4.0 and up,drpandafarm
Dr. Panda's Swimming Pool,FAMILY,4.4,2311,9.3M,"100,000+",Paid,$1.99,Everyone,Casual;Pretend Play,"January 15, 2015",1.01,4.0 and up,drpandasswimmingpool
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3397,9.5M,"50,000+",Paid,$3.99,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up,drpandatotostreehouse
Dr. Panda Hospital,FAMILY,4.4,1091,45M,"50,000+",Paid,$2.99,Everyone,Education;Pretend Play,"December 5, 2013",1.6,2.0.1 and up,drpandahospital
Dr. Panda Supermarket,FAMILY,4.2,1357,58M,"50,000+",Paid,$2.99,Everyone,Educational;Pretend Play,"February 16, 2016",1.6,4.0 and up,drpandasupermarket
Bloons TD 5,FAMILY,4.6,190086,94M,"1,000,000+",Paid,$2.99,Everyone,Strategy,"July 13, 2018",3.16,2.3.3 and up,bloonstd5
PES CLUB MANAGER,SPORTS,4.4,783025,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"June 7, 2018",1.7.2,4.2 and up,pesclubmanager
Riptide GP: Renegade,GAME,4.7,4328,Varies with device,"100,000+",Paid,$2.99,Everyone 10+,Racing,"June 1, 2018",1.2.1,4.1 and up,riptidegprenegade
Star Chart,FAMILY,4.3,128808,Varies with device,"10,000,000+",Free,0,Everyone,Education;Education,"August 2, 2018",Varies with device,Varies with device,starchart
DX,SHOPPING,3.1,6697,11M,"500,000+",Free,0,Everyone,Shopping,"February 1, 2018",4.2.1,4.0 and up,dx
Retro City Rampage DX,GAME,4.7,416,16M,"10,000+",Paid,$2.99,Teen,Action,"January 12, 2017",1.0.5,4.0 and up,retrocityrampagedx
EA SPORTS UFC®,SPORTS,4.5,2371338,37M,"50,000,000+",Free,0,Teen,Sports,"July 24, 2017",1.9.3097721,2.3.3 and up,easportsufc
NBA LIVE Mobile Basketball,SPORTS,4.4,1690802,58M,"50,000,000+",Free,0,Everyone,Sports,"May 21, 2018",2.3.1,4.0 and up,nbalivemobilebasketball
Need for Speed™ No Limits,GAME,4.4,3344300,22M,"50,000,000+",Free,0,Everyone 10+,Racing,"July 24, 2018",2.12.1,4.1 and up,needforspeednolimits
Real Racing 3,FAMILY,4.5,354454,71M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"July 2, 2018",6.4.0,4.1 and up,realracing3
The Simpsons™: Tapped Out,FAMILY,4.3,636995,49M,"10,000,000+",Free,0,Teen,Casual,"July 31, 2018",4.34.0,4.0.3 and up,thesimpsonstappedout
Plants vs. Zombies™ 2,FAMILY,4.4,567632,15M,"10,000,000+",Free,0,Everyone 10+,Casual,"June 12, 2018",6.8.1,4.1 and up,plantsvszombies2
Star Wars™: Galaxy of Heroes,FAMILY,4.5,1461698,67M,"10,000,000+",Free,0,Everyone 10+,Role Playing,"May 21, 2018",0.12.334385,4.1 and up,starwarsgalaxyofheroes
TETRIS,FAMILY,4.0,199808,57M,"10,000,000+",Free,0,Everyone,Puzzle,"June 14, 2018",3.0.10,3.0 and up,tetris
Bejeweled Classic,FAMILY,4.4,203101,Varies with device,"5,000,000+",Free,0,Everyone,Casual,"May 31, 2018",Varies with device,4.1 and up,bejeweledclassic
NBA JAM by EA SPORTS™,FAMILY,4.3,56444,43M,"500,000+",Paid,$4.99,Everyone,Sports;Action & Adventure,"February 8, 2017",04.00.40,2.3 and up,nbajambyeasports
TETRIS Blitz,FAMILY,4.4,201631,96M,"5,000,000+",Free,0,Everyone,Puzzle,"June 1, 2018",4.4.4,4.1 and up,tetrisblitz
Bejeweled Blitz,FAMILY,4.2,222664,98M,"10,000,000+",Free,0,Everyone,Puzzle,"August 1, 2018",2.6.0.125,4.0.3 and up,bejeweledblitz
Peggle Blast,GAME,4.1,166251,19M,"5,000,000+",Free,0,Everyone,Card,"December 11, 2017",2.16.0,4.0.3 and up,peggleblast
Gear.Club - True Racing,GAME,4.4,140658,37M,"1,000,000+",Free,0,Everyone,Racing,"August 1, 2018",1.21.2,4.3 and up,gearclubtrueracing
RPG ブレイジング ソウルズ アクセレイト,FAMILY,3.4,159,3.1M,"1,000+",Paid,$10.99,Teen,Role Playing,"April 26, 2018",2.12,2.3 and up,rpg
أحداث وحقائق | خبر عاجل في اخبار العالم,NEWS_AND_MAGAZINES,4.8,311,14M,"5,000+",Free,0,Everyone 10+,News & Magazines,"July 15, 2018",2.9.19a,4.2 and up,
My Little Pony: Harmony Quest,FAMILY,4.1,148405,26M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"March 5, 2018",1.6,4.1 and up,mylittleponyharmonyquest
Fit the Fat 2,SPORTS,3.8,35746,55M,"5,000,000+",Free,0,Everyone,Sports,"December 15, 2017",1.4.3,4.0.3 and up,fitthefat2
Mad Skills Motocross,GAME,4.0,32522,44M,"1,000,000+",Free,0,Everyone,Racing,"January 25, 2016",1.2.0,2.0 and up,madskillsmotocross
Pineapple Pen,GAME,4.3,157264,65M,"10,000,000+",Free,0,Everyone,Arcade,"December 30, 2016",1.31,4.0.3 and up,pineapplepen
Egg,FAMILY,2.9,72,27M,"5,000+",Free,0,Mature 17+,Simulation,"June 9, 2018",1.2.2,2.3 and up,egg
Bad Piggies HD,FAMILY,4.4,764967,69M,"10,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",2.3.4,4.1 and up,badpiggieshd
Farming Simulator 16,FAMILY,4.2,32812,14M,"500,000+",Paid,$2.99,Everyone,Simulation;Education,"April 10, 2018",1.1.1.6,4.0.3 and up,farmingsimulator16
Hangman,FAMILY,4.4,23302,12M,"5,000,000+",Free,0,Everyone,Puzzle,"March 24, 2018",1.0.6,4.0 and up,hangman
Fernanfloo,GAME,4.8,526595,49M,"10,000,000+",Free,0,Everyone 10+,Arcade,"June 26, 2018",2.9,4.0.3 and up,fernanfloo
The Game of Life,GAME,4.4,18652,63M,"100,000+",Paid,$2.99,Everyone,Board,"July 4, 2018",2.1.2,4.4 and up,thegameoflife
Narcos: Cartel Wars,FAMILY,4.7,244797,52M,"5,000,000+",Free,0,Teen,Strategy,"July 30, 2018",1.24.09,4.0.3 and up,narcoscartelwars
Get 'Em,GAME,4.1,7904,21M,"500,000+",Free,0,Everyone 10+,Action,"October 26, 2016",1.6.7,4.0.3 and up,getem
Edmodo,FAMILY,4.1,200214,18M,"10,000,000+",Free,0,Everyone,Education,"August 6, 2018",9.12.6,4.0.3 and up,edmodo
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",SPORTS,4.2,75566,Varies with device,"5,000,000+",Free,0,Everyone,Sports,"July 23, 2018",Varies with device,Varies with device,univisiondeportesligamxmlsftbolenvivo
The EO Bar,HEALTH_AND_FITNESS,4.7,416,34M,"10,000+",Paid,$6.99,Everyone,Health & Fitness,"July 2, 2018",1.3.7,4.1 and up,theeobar
Where's My Water?,FAMILY,4.7,188740,69M,"1,000,000+",Paid,$1.99,Everyone,Puzzle;Brain Games,"July 5, 2018",1.16.0,4.2 and up,wheresmywater
Frozen Free Fall,FAMILY,4.3,1574546,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,frozenfreefall
Episode - Choose Your Story,FAMILY,4.3,1842381,Varies with device,"50,000,000+",Free,0,Teen,Simulation,"July 31, 2018",Varies with device,Varies with device,episodechooseyourstory
Out There Chronicles - Ep. 1,FAMILY,4.4,1516,44M,"50,000+",Paid,$2.99,Everyone,Role Playing,"November 27, 2017",1.0.4,4.2 and up,outtherechroniclesep1
Google Earth,TRAVEL_AND_LOCAL,4.3,2339098,Varies with device,"100,000,000+",Free,0,Everyone,Travel & Local,"June 18, 2018",9.2.17.13,4.1 and up,googleearth
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251618,93M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 18, 2018",5.14.0,5.0 and up,niketrainingclubworkoutsfitnessplans
Epson iPrint,TOOLS,4.1,108169,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"June 25, 2018",Varies with device,Varies with device,epsoniprint
myChevrolet,LIFESTYLE,3.5,6747,Varies with device,"1,000,000+",Free,0,Everyone,Lifestyle,"June 11, 2018",Varies with device,Varies with device,mychevrolet
Design Home,FAMILY,4.4,539931,69M,"10,000,000+",Free,0,Everyone,Simulation,"August 6, 2018",1.11.01,4.2 and up,designhome
XCOM®: Enemy Within,FAMILY,4.2,13752,21M,"100,000+",Paid,$9.99,Mature 17+,Strategy,"October 24, 2017",1.7.0,4.0 and up,xcomenemywithin
Mobile Strike,FAMILY,3.9,903392,Varies with device,"50,000,000+",Free,0,Everyone 10+,Strategy,"June 14, 2018",3.30.4.207,4.1 and up,mobilestrike
European War 5:Empire,FAMILY,3.8,9513,82M,"100,000+",Free,0,Everyone 10+,Strategy,"June 8, 2018",1.2.6,4.0.3 and up,europeanwar5empire
Storm Shield,WEATHER,3.5,2000,14M,"100,000+",Free,0,Everyone,Weather,"July 31, 2018",4.1.12,5.0 and up,stormshield
TRANSFORMERS: Earth Wars,FAMILY,4.5,256219,95M,"10,000,000+",Free,0,Everyone,Strategy,"July 31, 2018",1.64.0.21247,4.2 and up,transformersearthwars
Premier League - Official App,SPORTS,4.3,63782,24M,"5,000,000+",Free,0,Everyone,Sports,"August 7, 2018",1.1.5,4.1 and up,premierleagueofficialapp
Farm Heroes Saga,FAMILY,4.4,7615646,71M,"100,000,000+",Free,0,Everyone,Casual,"August 7, 2018",5.2.6,2.3 and up,farmheroessaga
Fallout Shelter,FAMILY,4.6,2721923,25M,"10,000,000+",Free,0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up,falloutshelter
Messenger,SOCIAL,4.1,68025,3.9M,"10,000,000+",Free,0,Everyone,Social,"April 16, 2018",1.0,4.1 and up,messenger
Angry Birds Space HD,GAME,4.5,43645,46M,"5,000,000+",Free,0,Everyone,Arcade,"May 25, 2018",2.2.13,4.1 and up,angrybirdsspacehd
Family Guy The Quest for Stuff,GAME,4.0,995002,Varies with device,"10,000,000+",Free,0,Mature 17+,Adventure,"July 25, 2018",1.73.0,4.1 and up,familyguythequestforstuff
Talking Tom Bubble Shooter,FAMILY,4.4,687136,54M,"50,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.5.3.20,4.1 and up,talkingtombubbleshooter
TownWiFi | Wi-Fi Everywhere,COMMUNICATION,3.9,2372,58M,"500,000+",Free,0,Everyone,Communication,"August 2, 2018",4.2.1,4.2 and up,townwifiwifieverywhere
Crazy Freekick,SPORTS,3.9,47688,17M,"5,000,000+",Free,0,Everyone,Sports,"May 18, 2016",1.0.15,2.3 and up,crazyfreekick
Solitaire+,GAME,4.6,11235,Varies with device,"100,000+",Paid,$2.99,Everyone,Card,"July 30, 2018",Varies with device,Varies with device,solitaire
Fruit Ninja Classic,GAME,4.3,85468,36M,"1,000,000+",Paid,$0.99,Everyone,Arcade,"June 8, 2018",2.4.1.485300,4.0.3 and up,fruitninjaclassic
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36981,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,firefoxfocustheprivacybrowser
"sugar, sugar",FAMILY,4.2,1405,9.5M,"10,000+",Paid,$1.20,Everyone,Puzzle,"June 5, 2018",2.7,2.3 and up,sugarsugar
Fuel Rewards® program,LIFESTYLE,4.6,32433,46M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 26, 2018",2.9.1,5.0 and up,fuelrewardsprogram
